id,code,name,district_id
386,MMR017026,Dedaye,55
387,MMR017023,Pyapon,55
388,MMR017024,Bogale,55
389,MMR017023702,Ahmar,55
390,MMR017021,Nyaungdon,31
391,MMR017022,Danubyu,31
392,MMR017020,Pantanaw,31
393,MMR017019,Maubin,31
394,MMR017014,Myaungmya,44
395,MMR017017,Wakema,44
396,MMR017015,Einme,44
397,MMR017018,Mawlamyinegyun,22
398,MMR017016,Labutta,22
399,MMR017016702,Pyinsalu,22
400,MMR017012,Kyangin,8
401,MMR017009,Zalun,8
402,MMR017011,Myanaung,8
403,MMR017010,Lemyethna,8
404,MMR017008,Hinthada,8
405,MMR017013,Ingapu,8
406,MMR018003,Tatkon,49
407,MMR018001,"Zay Yar Thi Ri",49
408,MMR018008,"Oke Ta Ra Thi Ri",49
409,MMR018005,"Poke Ba Thi Ri",49
410,MMR018006,Pyinmana,50
411,MMR018007,Lewe,50
412,MMR018002,"Za Bu Thi Ri",50
413,MMR018004,"Det Khi Na Thi Ri ",50
