id,code,name,district_id,id,name,code,region_divisions_id,id,name,code
145,MMR008004,Paungde,56,56,Pyay,MMR008D001,2,2,Bago,BGO
146,MMR008005,Thegon,56,56,Pyay,MMR008D001,2,2,Bago,BGO
147,MMR008006,Shwedaung,56,56,Pyay,MMR008D001,2,2,Bago,BGO
148,MMR008007,Thayarwady,67,67,Thayarwady,MMR008D002,2,2,Bago,BGO
149,MMR008008,Letpadan,67,67,Thayarwady,MMR008D002,2,2,Bago,BGO
150,MMR008009,Minhla,67,67,Thayarwady,MMR008D002,2,2,Bago,BGO
151,MMR008010,Okpho,67,67,Thayarwady,MMR008D002,2,2,Bago,BGO
152,MMR008011,Zigon,67,67,Thayarwady,MMR008D002,2,2,Bago,BGO
153,MMR008012,Nattalin,67,67,Thayarwady,MMR008D002,2,2,Bago,BGO
154,MMR008013,Monyo,67,67,Thayarwady,MMR008D002,2,2,Bago,BGO
155,MMR008014,Gyobingauk,67,67,Thayarwady,MMR008D002,2,2,Bago,BGO
156,MMR009001,Magway,28,28,Magway,MMR009D001,7,7,Magway,MGY
157,MMR009002,Yenangyaung,28,28,Magway,MMR009D001,7,7,Magway,MGY
158,MMR009003,Chauk,28,28,Magway,MMR009D001,7,7,Magway,MGY
159,MMR009004,Taungdwingyi,28,28,Magway,MMR009D001,7,7,Magway,MGY
160,MMR009005,Myothit(Magway),28,28,Magway,MMR009D001,7,7,Magway,MGY
161,MMR009006,Natmauk,28,28,Magway,MMR009D001,7,7,Magway,MGY
162,MMR009007,Minbu,36,36,Minbu,MMR009D002,7,7,Magway,MGY
163,MMR009008,Pwintbyu,36,36,Minbu,MMR009D002,7,7,Magway,MGY
164,MMR009009,Ngape,36,36,Minbu,MMR009D002,7,7,Magway,MGY
165,MMR009010,Salin,36,36,Minbu,MMR009D002,7,7,Magway,MGY
166,MMR009011,Sidoktaya,36,36,Minbu,MMR009D002,7,7,Magway,MGY
167,MMR009012,Thayet,68,68,Thayet,MMR009D003,7,7,Magway,MGY
168,MMR009013,Minhla,68,68,Thayet,MMR009D003,7,7,Magway,MGY
169,MMR009014,Mindon,68,68,Thayet,MMR009D003,7,7,Magway,MGY
